ID,Sensor1,Sensor2,Sensor3,Sensor4,Compound
492,4297030,14473775,17096591,212607,Acetone
493,4280650,13823243,17448324,212367,Acetone
494,4293000,14612838,17149203,212164,Acetone
495,4305610,13771111,17434383,211983,Acetone
496,4309740,14265061,17321104,211940,Acetone
497,4309550,13451083,17397142,212070,Acetone
498,4280940,13351815,17288507,212033,Acetone
499,4289250,13716961,17341241,211882,Acetone
500,4302750,14379355,17496423,211773,Acetone
501,4315840,14130098,17272694,211838,Acetone
502,4306030,13340343,17225521,211676,Acetone
503,4293960,13699379,17501291,211529,Acetone
504,4289660,13437127,17340072,211829,Acetone
505,4269470,14241945,17364425,211318,Acetone
506,4279440,14623484,17338082,211126,Acetone
507,4296380,14479692,17206212,211104,Acetone
508,4282820,13935161,17313845,210781,Acetone
509,4294550,13841757,17306681,210704,Acetone
510,4310320,14574043,17429841,210571,Acetone
511,4279090,13856101,17501908,210560,Acetone
512,4270410,13610747,17356862,210715,Acetone
513,4267650,13258027,17242325,210466,Acetone
514,4245010,14338933,17088925,210472,Acetone
515,4240040,13322687,17345585,210633,Acetone
516,4239060,14327237,17289543,210357,Acetone
517,4218090,14710052,17509710,210260,Acetone
518,4211320,13385079,17262277,210242,Acetone
519,4233590,13688451,17187404,210536,Acetone
520,4218310,13264403,17369753,210225,Acetone
521,4229220,14448185,17390900,210030,Acetone
522,4221570,13488541,17354818,209876,Acetone
523,4209590,14280856,17316339,209815,Acetone
524,4209970,13272019,17135166,209803,Acetone
525,4211120,13884089,17112722,209601,Acetone
526,4207250,14438492,17356795,209504,Acetone
527,4210920,13931815,17382954,209431,Acetone
528,4210150,13327555,17287435,209600,Acetone
529,4223060,13271018,17503382,209755,Acetone
530,4210040,13280753,17191719,209475,Acetone
531,4201960,14205724,17276989,209298,Acetone
532,4212720,14694987,17205085,209115,Acetone
533,4218440,14323658,17117168,208992,Acetone
534,4223470,14499152,17480394,209025,Acetone
535,4208110,14082162,17470844,209230,Acetone
536,4208140,14151234,17234199,209033,Acetone
537,4184040,14020751,17081412,208828,Acetone
538,4185830,13847985,17268480,208836,Acetone
539,4183270,13492305,17232628,208656,Acetone
540,4173860,13552903,17461088,208777,Acetone
541,4199210,14131301,17160179,208777,Acetone
542,4181460,14203654,17343708,208625,Acetone
543,4176800,13677496,17124643,208455,Acetone
544,4192420,14618615,17414835,208457,Acetone
545,4162330,14483032,17338504,208284,Acetone
546,4144170,14086294,17181796,208224,Acetone
547,4144150,13640962,17383642,208266,Acetone
548,4142730,14492651,17225548,208112,Acetone
549,4148750,13963729,17490516,208189,Acetone
550,4133830,14508275,17079314,208013,Acetone
551,4122880,13756100,17067932,207873,Acetone
552,4127850,13849839,17340710,207711,Acetone
553,4142880,14182471,17275376,207582,Acetone
554,4143210,14620873,17472960,207503,Acetone
555,4119290,14432458,17385088,207455,Acetone
556,4116970,13727621,17382683,207401,Acetone
557,4121490,14546886,17280731,207323,Acetone
558,4110080,14319270,17205077,207255,Acetone
559,4130150,13917290,17193588,207176,Acetone
560,4133820,13587517,17295826,207353,Acetone
561,4133440,13317711,17491269,207464,Acetone
562,4108330,13673494,17380550,207568,Acetone
563,4115870,13780433,17471803,207259,Acetone
564,4116210,14536527,17203021,206976,Acetone
565,4093030,13751451,17305433,207005,Acetone
566,4098230,13794533,17253222,207044,Acetone
567,4109520,14541025,17410770,207328,Acetone
568,4102040,14308286,17151203,207460,Acetone
569,4118180,14332509,17415859,207341,Acetone
570,4147510,14494222,17104804,207110,Acetone
571,4117080,13425391,17337442,207163,Acetone
572,4109510,13871822,17412821,206899,Acetone
573,4121920,14560977,17212255,206713,Acetone
574,4120820,14694990,17193962,206775,Acetone
575,4094550,14265337,17455447,206628,Acetone
576,4110900,14611615,17183913,206797,Acetone
577,4104600,13552861,17088346,206752,Acetone
578,4107830,14072363,17153247,206818,Acetone
579,4115960,14610537,17314382,206814,Acetone
580,4112500,14570948,17446624,206622,Acetone
581,4099230,14266896,17312885,206744,Acetone
582,4105800,14462305,17476279,206553,Acetone
583,4102460,13975901,17138956,206393,Acetone
584,4087630,13755510,17344578,206403,Acetone
585,4074660,13350782,17121792,206360,Acetone
586,4071490,13901290,17105911,206371,Acetone
587,4076560,13947102,17197531,206310,Acetone
588,4074470,13919721,17081101,206167,Acetone
589,4079020,14541777,17261708,205983,Acetone
590,4090870,14102238,17236805,205898,Acetone
591,4093810,14040439,17363024,205894,Acetone
592,4077290,13927617,17391261,205827,Acetone
593,4087550,14123950,17241003,205769,Acetone
594,4100290,13685962,17227876,205693,Acetone
595,4101910,13584718,17331644,206108,Acetone
596,4089510,13297679,17111829,206017,Acetone
597,4088740,13714369,17068384,205958,Acetone
598,4095230,14531916,17444368,205838,Acetone
599,4064190,13807381,17210129,205673,Acetone
600,4062230,14635937,17190670,205706,Acetone
601,4060320,14320492,17470785,205651,Acetone
602,4061790,14342729,17427865,205679,Acetone
603,4063560,14291799,17098394,205695,Acetone
604,4080870,13564337,17194464,205723,Acetone
605,4080200,13701996,17085082,205623,Acetone
606,4065430,13424642,17457258,205627,Acetone
607,4069670,14691465,17327134,205540,Acetone
608,4074500,14324161,17433262,205567,Acetone
609,4078190,13545423,17218107,205421,Acetone
610,4072020,14256784,17359328,205358,Acetone
611,4047220,14138107,17506496,205172,Acetone
612,4058400,13718909,17468609,205068,Acetone
